Profiling shortest path
=======================

         96411 function calls (95354 primitive calls) in 4.461 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      500    0.000    0.000    0.000    0.000 __init__.py:337(_set_pmap)
      400    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
      300    0.000    0.000    0.000    0.000 __init__.py:2647(num_vertices)
      900    0.000    0.000    0.000    0.000 __init__.py:334(_get_pmap)
      100    0.000    0.000    0.000    0.000 __init__.py:610(value_type)
      300    0.000    0.000    0.000    0.000 {built-in method builtins.id}
      200    0.000    0.000    0.000    0.000 __init__.py:2513(get_vertex_filter)
      200    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.array}
      100    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
      200    0.000    0.000    0.000    0.000 __init__.py:461(<lambda>)
      100    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      100    0.000    0.000    0.000    0.000 __init__.py:606(key_type)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling k-core
================

         176003 function calls (174003 primitive calls) in 14.057 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.060   14.060 {built-in method builtins.exec}
        1    0.024    0.024   14.060   14.060 <string>:1(<module>)
     1000   13.716    0.014   14.015    0.014 __init__.py:1037(kcore_decomposition)
     1000    0.024    0.000    0.225    0.000 __init__.py:2766(__init__)
     1000    0.002    0.000    0.123    0.000 decorators.py:1(__setitem__)
3000/1000    0.006    0.000    0.122    0.000 decorators.py:126(wrapper)
     1000    0.001    0.000    0.115    0.000 __init__.py:1353(__setitem__)
     1000    0.002    0.000    0.114    0.000 decorators.py:1(__set_property)
     1000    0.012    0.000    0.112    0.000 decorators.py:95(wrap)
     1000    0.008    0.000    0.095    0.000 inspect.py:1026(getargspec)
     1000    0.016    0.000    0.078    0.000 inspect.py:1051(getfullargspec)
     1000    0.023    0.000    0.064    0.000 __init__.py:2147(new_vertex_property)
     4000    0.019    0.000    0.063    0.000 __init__.py:458(__init__)
     1000    0.009    0.000    0.056    0.000 inspect.py:2145(_signature_from_callable)
     1000    0.016    0.000    0.050    0.000 __init__.py:1543(__init__)
     1000    0.022    0.000    0.046    0.000 inspect.py:2064(_signature_from_function)
     5000    0.011    0.000    0.030    0.000 __init__.py:183(_type_alias)
     4000    0.006    0.000    0.024    0.000 __init__.py:245(_converter)
     4000    0.004    0.000    0.021    0.000 __init__.py:506(__del__)
     3000    0.019    0.000    0.019    0.000 __init__.py:2856(value_types)
     1000    0.002    0.000    0.018    0.000 __init__.py:2025(own_property)
     4000    0.004    0.000    0.018    0.000 __init__.py:206(_python_type)
     4000    0.015    0.000    0.017    0.000 __init__.py:501(__unregister_map)
     1000    0.010    0.000    0.014    0.000 inspect.py:2665(__init__)
     4000    0.009    0.000    0.010    0.000 __init__.py:496(__register_map)
     4000    0.007    0.000    0.009    0.000 inspect.py:2398(__init__)
     2000    0.007    0.000    0.008    0.000 __init__.py:146(_prop)
     5000    0.008    0.000    0.008    0.000 __init__.py:610(value_type)
     1000    0.007    0.000    0.007    0.000 {built-in method _warnings.warn}
     3000    0.007    0.000    0.007    0.000 __init__.py:1395(__init__)
    17000    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     5000    0.003    0.000    0.004    0.000 inspect.py:2710(<genexpr>)
     2000    0.003    0.000    0.003    0.000 __init__.py:2434(set_directed)
     1000    0.003    0.000    0.003    0.000 __init__.py:1349(__init__)
     1000    0.001    0.000    0.002    0.000 __init__.py:946(_check_prop_writable)
     1000    0.001    0.000    0.002    0.000 __init__.py:952(_check_prop_scalar)
    15000    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     1000    0.001    0.000    0.002    0.000 <string>:12(__new__)
     1000    0.002    0.000    0.002    0.000 __init__.py:1359(__set_property)
     1000    0.001    0.000    0.001    0.000 __init__.py:2438(is_directed)
     1000    0.001    0.000    0.001    0.000 __init__.py:168(_degree)
     2000    0.001    0.000    0.001    0.000 inspect.py:158(isfunction)
     1000    0.001    0.000    0.001    0.000 __init__.py:853(is_writable)
     8000    0.001    0.000    0.001    0.000 inspect.py:2433(name)
     4000    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     2000    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7f25728bd160}
     1000    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
     8000    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
     1000    0.001    0.000    0.001    0.000 __init__.py:2544(get_edge_filter)
     5000    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     3000    0.001    0.000    0.001    0.000 __init__.py:606(key_type)
     3000    0.001    0.000    0.001    0.000 {built-in method builtins.len}
     2000    0.001    0.000    0.001    0.000 __init__.py:1993(<lambda>)
     3000    0.001    0.000    0.001    0.000 __init__.py:2842(__get_base)
     4000    0.001    0.000    0.001    0.000 inspect.py:2445(kind)
     4000    0.001    0.000    0.001    0.000 inspect.py:2437(default)
     1000    0.001    0.000    0.001    0.000 __init__.py:2069(_get_vertex_index)
     4000    0.001    0.000    0.001    0.000 inspect.py:2441(annotation)
     1000    0.000    0.000    0.000    0.000 __init__.py:2513(get_vertex_filter)
     2000    0.000    0.000    0.000    0.000 __init__.py:461(<lambda>)
     1000    0.000    0.000    0.000    0.000 __init__.py:2458(set_filters)
     1000    0.000    0.000    0.000    0.000 decorators.py:99(<listcomp>)
     1000    0.000    0.000    0.000    0.000 inspect.py:2744(return_annotation)
     1000    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1000    0.000    0.000    0.000    0.000 inspect.py:2740(parameters)
     1000    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1000    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}


Profiling minimum spanning tree
===============================

         174003 function calls (172003 primitive calls) in 40.081 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   40.084   40.084 {built-in method builtins.exec}
        1    0.027    0.027   40.084   40.084 <string>:1(<module>)
     1000   39.712    0.040   40.033    0.040 __init__.py:403(min_spanning_tree)
     1000    0.025    0.000    0.241    0.000 __init__.py:2766(__init__)
     1000    0.002    0.000    0.135    0.000 decorators.py:1(__setitem__)
3000/1000    0.007    0.000    0.133    0.000 decorators.py:126(wrapper)
     1000    0.002    0.000    0.125    0.000 __init__.py:1353(__setitem__)
     1000    0.002    0.000    0.123    0.000 decorators.py:1(__set_property)
     1000    0.012    0.000    0.121    0.000 decorators.py:95(wrap)
     1000    0.008    0.000    0.103    0.000 inspect.py:1026(getargspec)
     1000    0.017    0.000    0.086    0.000 inspect.py:1051(getfullargspec)
     1000    0.025    0.000    0.072    0.000 __init__.py:2169(new_edge_property)
     4000    0.021    0.000    0.067    0.000 __init__.py:458(__init__)
     1000    0.009    0.000    0.062    0.000 inspect.py:2145(_signature_from_callable)
     1000    0.018    0.000    0.053    0.000 __init__.py:1543(__init__)
     1000    0.023    0.000    0.051    0.000 inspect.py:2064(_signature_from_function)
     5000    0.011    0.000    0.032    0.000 __init__.py:183(_type_alias)
     4000    0.006    0.000    0.025    0.000 __init__.py:245(_converter)
     4000    0.005    0.000    0.025    0.000 __init__.py:506(__del__)
     3000    0.021    0.000    0.021    0.000 __init__.py:2856(value_types)
     4000    0.018    0.000    0.020    0.000 __init__.py:501(__unregister_map)
     4000    0.005    0.000    0.019    0.000 __init__.py:206(_python_type)
     1000    0.002    0.000    0.019    0.000 __init__.py:2025(own_property)
     1000    0.011    0.000    0.015    0.000 inspect.py:2665(__init__)
     4000    0.010    0.000    0.012    0.000 inspect.py:2398(__init__)
     3000    0.010    0.000    0.012    0.000 __init__.py:146(_prop)
     4000    0.009    0.000    0.010    0.000 __init__.py:496(__register_map)
     5000    0.008    0.000    0.008    0.000 __init__.py:610(value_type)
     1000    0.008    0.000    0.008    0.000 {built-in method _warnings.warn}
     3000    0.007    0.000    0.007    0.000 __init__.py:1395(__init__)
    18000    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
     5000    0.003    0.000    0.004    0.000 inspect.py:2710(<genexpr>)
     2000    0.004    0.000    0.004    0.000 __init__.py:2434(set_directed)
     1000    0.003    0.000    0.003    0.000 __init__.py:1349(__init__)
     1000    0.002    0.000    0.002    0.000 __init__.py:299(_c_str)
    15000    0.002    0.000    0.002    0.000 {built-in method builtins.id}
     1000    0.001    0.000    0.002    0.000 <string>:12(__new__)
     1000    0.002    0.000    0.002    0.000 __init__.py:1359(__set_property)
     2000    0.001    0.000    0.002    0.000 inspect.py:158(isfunction)
     8000    0.001    0.000    0.001    0.000 inspect.py:2433(name)
     4000    0.001    0.000    0.001    0.000 {method 'isidentifier' of 'str' objects}
     2000    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x7f25728bd160}
